"FY 2018 Active Providers",""
"Selection Criteria",""
"Provider and Supplier Type(s):","Dually Certified SNF/NFs - Medicare and Medicaid, Distinct Part SNF/NFs - Medicare and Medicaid, Skilled Nursing Facilities (SNFs) - Medicare Only, Nursing Facilities - Medicaid Only"
"Year Type:","Fiscal Year"
"Year:","2018"
"Quarter:","Full Year"
"CCN","Provider Name","Address","City","State","Zip Code","County","Region","Phone Number","Provider Type","Original Participation Date","Termination Date","Number of Certified Beds","Hospital Based","Chain Name","Ownership Type"
"015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","Franklin","(IV) Atlanta","256 332-4110","SNF/NF (Dually Certified)","09/01/1969","","57","N","","For Profit"
"015010","COOSA VALLEY HEALTHCARE CENTER","260 WEST WALNUT STREET","SYLACAUGA","AL","35150","Talladega","(IV) Atlanta","256 249-5604","SNF/NF (Dually Certified)","01/01/1967","","85","N","","For Profit"
"015012","HIGHLANDS HEALTH AND REHAB","380 WOODS COVE ROAD","SCOTTSBORO","AL","35768","Jackson","(IV) Atlanta","256 218-3708","SNF/NF (Dually Certified)","01/01/1967","","50","N","","Government"
"015014","EASTVIEW REHABILITATION & HEALTHCARE CENTER","7755 FOURTH AVENUE SOUTH","BIRMINGHAM","AL","35206","Jefferson","(IV) Atlanta","205 833-0146","SNF/NF (Dually Certified)","01/01/1967","","92","N","","For Profit"
"015015","PLANTATION MANOR NURSING HOME","6450 OLD TUSCALOOSA HIGHWAY","MC CALLA","AL","35111","Jefferson","(IV) Atlanta","205 477-6161","SNF/NF (Dually Certified)","07/01/1971","","103","N","","For Profit"
"015016","ATHENS HEALTH AND REHABILITATION LLC","611 WEST MARKET STREET","ATHENS","AL","35611","Limestone","(IV) Atlanta","256 232-1620","SNF/NF (Dually Certified)","01/01/1967","","149","N","","For Profit"
"015019","MERRY WOOD LODGE","280 MT HEBRON ROAD","ELMORE","AL","36025","Elmore","(IV) Atlanta","334 567-8484","SNF/NF (Dually Certified)","01/01/1974","","124","N","GENESIS HEALTHCARE","For Profit"
"015023","HATLEY HEALTH CARE INC","300 MEDICAL CENTER DRIVE","CLANTON","AL","35045","Chilton","(IV) Atlanta","205 755-4960","SNF/NF (Dually Certified)","01/01/1967","","201","N","","For Profit"
"015024","LIMESTONE NURSING AND REHABILITATION CENTER, LLC","1600 WEST HOBBS STREET","ATHENS","AL","35611","Limestone","(IV) Atlanta","256 232-3461","SNF/NF (Dually Certified)","01/01/1979","","170","N","","For Profit"
"015027","WETUMPKA HEALTH AND REHABILITATION, LLC","1825 HOLTVILLE ROAD","WETUMPKA","AL","36092","Elmore","(IV) Atlanta","334 567-5131","SNF/NF (Dually Certified)","07/24/1967","","121","N","","For Profit"
"015028","KELLER LANDING","813 KELLER LANE","TUSCUMBIA","AL","35674","Colbert","(IV) Atlanta","256 383-1535","SNF/NF (Dually Certified)","07/01/1977","","109","N","GENESIS HEALTHCARE","For Profit"
"015031","MITCHELL-HOLLINGSWORTH NURSING & REHABILITATION","805 FLAGG CIRCLE","FLORENCE","AL","35631","Lauderdale","(IV) Atlanta","256 740-5400","SNF/NF (Dually Certified)","01/01/1967","","222","N","","For Profit"
"015032","DIVERSICARE OF FOLEY","1701 NORTH ALSTON STREET","FOLEY","AL","36535","Baldwin","(IV) Atlanta","251 943-2781","SNF/NF (Dually Certified)","09/01/1973","","154","N","","For Profit"
"015034","HUNTER CREEK HEALTH AND REHABILITATION, LLC","3200 HUNTER CREEK RD","NORTHPORT","AL","35473","Tuscaloosa","(IV) Atlanta","205 339-5900","SNF/NF (Dually Certified)","07/01/1968","","78","N","","For Profit"
"015035","WEST GATE VILLAGE","100 PINEVIEW AND THIRD","BREWTON","AL","36427","Escambia","(IV) Atlanta","251 867-6077","SNF/NF (Dually Certified)","01/01/1967","","125","N","","For Profit"
